Samples,Xpos,Ypos,Pow,NebMode
294,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
295,4.0925022636123956,0.45316473579088523,-1.1967658677864073,0
296,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
297,4.0925022636123956,0.45316473579088523,-1.1967658677864073,0
298,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
299,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
300,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
301,4.0771556315254,0.448070561035081,-1.1967658677864073,0
302,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
303,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
304,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
305,4.0771556315254,0.448070561035081,-1.1967658677864073,0
306,4.082271175554396,0.448070561035081,-1.1967658677864073,0
307,4.082271175554396,0.448070561035081,-1.1967658677864073,0
308,4.0771556315254,0.448070561035081,-1.201886792077616,0
309,4.0771556315254,0.448070561035081,-1.1967658677864073,0
310,4.072040087496401,0.448070561035081,-1.1967658677864073,0
311,4.0771556315254,0.448070561035081,-1.1967658677864073,0
312,4.072040087496401,0.448070561035081,-1.1967658677864073,0
313,4.0771556315254,0.448070561035081,-1.1967658677864073,0
314,4.0771556315254,0.448070561035081,-1.1967658677864073,0
315,4.082271175554396,0.448070561035081,-1.1967658677864073,0
316,4.0771556315254,0.448070561035081,-1.1967658677864073,0
317,4.082271175554396,0.448070561035081,-1.1967658677864073,0
318,4.0771556315254,0.448070561035081,-1.1967658677864073,0
319,4.072040087496401,0.448070561035081,-1.1967658677864073,0
320,4.082271175554396,0.448070561035081,-1.1967658677864073,0
321,4.0771556315254,0.448070561035081,-1.1967658677864073,0
322,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
323,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
324,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
325,4.087386719583396,0.448070561035081,-1.1967658677864073,0
326,4.0925022636123956,0.45316473579088523,-1.1967658677864073,0
327,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
328,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
329,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
330,4.0771556315254,0.448070561035081,-1.1967658677864073,0
331,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
332,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
333,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
334,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
335,4.0925022636123956,0.45316473579088523,-1.191644943495195,0
336,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
337,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
338,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
339,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
340,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
341,4.072040087496401,0.448070561035081,-1.1967658677864073,0
342,4.082271175554396,0.448070561035081,-1.1967658677864073,0
343,4.087386719583396,0.448070561035081,-1.1967658677864073,0
344,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
345,4.0771556315254,0.448070561035081,-1.191644943495195,0
346,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
347,4.082271175554396,0.448070561035081,-1.1967658677864073,0
348,4.082271175554396,0.448070561035081,-1.1967658677864073,0
349,4.0771556315254,0.448070561035081,-1.1967658677864073,0
350,4.0771556315254,0.448070561035081,-1.1967658677864073,0
351,4.0771556315254,0.448070561035081,-1.1967658677864073,0
352,4.072040087496401,0.448070561035081,-1.1967658677864073,0
353,4.0771556315254,0.448070561035081,-1.1967658677864073,0
354,4.082271175554396,0.448070561035081,-1.1967658677864073,0
355,4.072040087496401,0.448070561035081,-1.1967658677864073,0
356,4.0771556315254,0.448070561035081,-1.1967658677864073,0
357,4.082271175554396,0.448070561035081,-1.1967658677864073,0
358,4.087386719583396,0.448070561035081,-1.1967658677864073,0
359,4.082271175554396,0.448070561035081,-1.1967658677864073,0
360,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
361,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
362,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
363,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
364,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
365,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
366,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
367,4.0925022636123956,0.4582589105466912,-1.191644943495195,0
368,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
369,4.082271175554396,0.448070561035081,-1.1967658677864073,0
370,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
371,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
372,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
373,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
374,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
375,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
376,4.0771556315254,0.448070561035081,-1.1967658677864073,0
377,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
378,4.082271175554396,0.448070561035081,-1.1967658677864073,0
379,4.0771556315254,0.448070561035081,-1.1967658677864073,0
380,4.082271175554396,0.448070561035081,-1.1967658677864073,0
381,4.082271175554396,0.448070561035081,-1.1967658677864073,0
382,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
383,4.072040087496401,0.448070561035081,-1.1967658677864073,0
384,4.0771556315254,0.448070561035081,-1.1967658677864073,0
385,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
386,4.066924543467401,0.448070561035081,-1.1967658677864073,0
387,4.0771556315254,0.448070561035081,-1.1967658677864073,0
388,4.0771556315254,0.448070561035081,-1.1967658677864073,0
389,4.0771556315254,0.448070561035081,-1.1967658677864073,0
390,4.0771556315254,0.448070561035081,-1.1967658677864073,0
391,4.0771556315254,0.448070561035081,-1.1967658677864073,0
392,4.0771556315254,0.448070561035081,-1.1967658677864073,0
393,4.072040087496401,0.448070561035081,-1.1967658677864073,0
394,4.082271175554396,0.448070561035081,-1.1967658677864073,0
395,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
396,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
397,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
398,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
399,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
400,4.082271175554396,0.45316473579088523,-1.191644943495195,0
401,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
402,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
403,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
404,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
405,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
406,4.087386719583396,0.45316473579088523,-1.191644943495195,0
407,4.082271175554396,0.45316473579088523,-1.191644943495195,0
408,4.087386719583396,0.4582589105466912,-1.191644943495195,0
409,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
410,4.082271175554396,0.448070561035081,-1.1967658677864073,0
411,4.087386719583396,0.448070561035081,-1.1967658677864073,0
412,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
413,4.087386719583396,0.45316473579088523,-1.1967658677864073,0
414,4.082271175554396,0.45316473579088523,-1.191644943495195,0
415,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
416,4.087386719583396,0.45316473579088523,-1.191644943495195,0
417,4.072040087496401,0.448070561035081,-1.1967658677864073,0
418,4.082271175554396,0.448070561035081,-1.1967658677864073,0
419,4.082271175554396,0.448070561035081,-1.1967658677864073,0
420,4.082271175554396,0.45316473579088523,-1.1967658677864073,0
421,4.082271175554396,0.448070561035081,-1.1967658677864073,0
422,4.0771556315254,0.448070561035081,-1.1967658677864073,0
423,4.0771556315254,0.448070561035081,-1.1967658677864073,0
424,4.072040087496401,0.448070561035081,-1.1967658677864073,0
