Samples,Xpos,Ypos,Pow,NebMode
54,4.15388879196038,0.4684472600583014,-1.278700656445773,0
55,4.15900433598938,0.4684472600583014,-1.2735797321545643,0
56,4.15388879196038,0.4684472600583014,-1.2735797321545643,0
57,4.15388879196038,0.4633530853024954,-1.278700656445773,0
58,4.148773247931384,0.4633530853024954,-1.2735797321545643,0
59,4.15900433598938,0.4684472600583014,-1.278700656445773,0
60,4.148773247931384,0.4684472600583014,-1.2735797321545643,0
61,4.15900433598938,0.4684472600583014,-1.278700656445773,0
62,4.15388879196038,0.4684472600583014,-1.2735797321545643,0
63,4.15900433598938,0.4684472600583014,-1.278700656445773,0
64,4.15900433598938,0.4684472600583014,-1.278700656445773,0
65,4.1436577039023845,0.4633530853024954,-1.2735797321545643,0
66,4.15388879196038,0.4684472600583014,-1.2684588078633539,0
67,4.138542159873385,0.4684472600583014,-1.2684588078633539,0
68,4.138542159873385,0.4633530853024954,-1.2684588078633539,0
69,4.107848895699393,0.45316473579088523,-1.2530960349897207,0
70,4.097617807641393,0.45316473579088523,-1.247975110698512,0
71,4.061808999438403,0.44297638627927505,-1.2326123378248806,0
72,4.072040087496401,0.448070561035081,-1.2428541864072997,0
73,4.138542159873385,0.4633530853024954,-1.2684588078633539,0
74,4.133426615844387,0.4633530853024954,-1.2633378835721434,0
75,4.11807998375739,0.4582589105466912,-1.258216959280933,0
76,3.9748447509454223,0.4225996872560529,-1.2070077163688282,0
77,3.9646136628874267,0.4225996872560529,-1.201886792077616,0
78,3.9646136628874267,0.4225996872560529,-1.201886792077616,0
79,3.9697292069164227,0.4225996872560529,-1.2070077163688282,0
80,3.979960294974422,0.42769386201186066,-1.201886792077616,0
81,3.9492670308004296,0.4225996872560529,-1.1967658677864073,0
82,3.9697292069164227,0.4225996872560529,-1.201886792077616,0
83,3.9748447509454223,0.4225996872560529,-1.201886792077616,0
84,3.979960294974422,0.4225996872560529,-1.201886792077616,0
85,3.9748447509454223,0.42769386201186066,-1.2070077163688282,0
86,3.979960294974422,0.42769386201186066,-1.2070077163688282,0
87,3.995306927061419,0.42769386201186066,-1.2121286406600387,0
88,4.005538015119416,0.42769386201186066,-1.2121286406600387,0
89,4.015769103177414,0.43278803676766486,-1.2172495649512491,0
90,3.995306927061419,0.42769386201186066,-1.2121286406600387,0
